,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
448,-0.2023,Wed Jun 27 13:21:06 +0000 2018,0.155,0.727,0.118,The search for a dozen boys and their soccer coach trapped in a flooded cave complex has captivated Thailand https://t.co/1LQB1CFzM0,49,@nytimes
449,0.0,Wed Jun 27 13:10:41 +0000 2018,0.0,1.0,0.0,"A year and a half after a New York Times correspondent was kicked out of Venezuela, he returned to see how people a… https://t.co/HtNogoyDhd",50,@nytimes
450,0.0,Wed Jun 27 13:00:19 +0000 2018,0.0,1.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/EfR5ZryQxl https://t.co/zqewCJApCz,51,@nytimes
451,-0.6597,Wed Jun 27 12:44:03 +0000 2018,0.188,0.812,0.0,"A shooting in which a woman gunned down four of her relatives, killing two, has rattled Hong Kong, a city where suc… https://t.co/xaDP4Jo42X",52,@nytimes
452,-0.0516,Wed Jun 27 12:30:04 +0000 2018,0.138,0.734,0.128,"President Trump has chosen a more moderate approach to limit Chinese investments in the United States, rejecting mo… https://t.co/K423hIY9vc",53,@nytimes
453,-0.4588,Wed Jun 27 12:16:06 +0000 2018,0.136,0.864,0.0,"""The unfortunate reality is that under the present system, migrant children are not accounted for with the same eff… https://t.co/bx2vRTeyEn",54,@nytimes
454,0.3612,Wed Jun 27 11:50:04 +0000 2018,0.0,0.828,0.172,A political revolution — or something like it — just rippled through New York City https://t.co/Y0F0wPNONI,55,@nytimes
455,0.5574,Wed Jun 27 11:41:06 +0000 2018,0.0,0.825,0.175,The Korematsu ruling was an exceedingly rare modern example in which the Supreme Court explicitly upheld government… https://t.co/yUWSZBmg3Y,56,@nytimes
456,-0.5574,Wed Jun 27 11:30:03 +0000 2018,0.329,0.461,0.211,"Justice Sonia Sotomayor condemned the travel ban as ""harrowing"" and ""motivated by hostility and animus toward the M… https://t.co/JqxzB2lrOo",57,@nytimes
457,-0.5574,Wed Jun 27 11:20:03 +0000 2018,0.194,0.806,0.0,RT @nytgraphics: Charts illustrating some of the effects of Trump's travel ban so far:  https://t.co/6a3wAmRUPn https://t.co/eqWjGnfI8r,58,@nytimes
458,0.3182,Wed Jun 27 11:11:07 +0000 2018,0.147,0.612,0.241,What the Supreme Court's endorsement of the travel ban says about the extent of the president's power https://t.co/jsDBQuSBQD,59,@nytimes
459,-0.3447,Wed Jun 27 11:00:06 +0000 2018,0.328,0.672,0.0,"Fact check: No, Democrats don't want ""open borders"" https://t.co/91CrZV9ahM",60,@nytimes
460,0.0,Wed Jun 27 10:44:06 +0000 2018,0.0,1.0,0.0,Results for elections in 7 states https://t.co/MAme5UnNmP https://t.co/sXLPiAvuny,61,@nytimes
461,0.0,Wed Jun 27 10:30:12 +0000 2018,0.0,1.0,0.0,"""I knew that it was long odds, and I knew that it was uphill, but I always knew it was possible,"" Alexandria Ocasio… https://t.co/Nhy8yHPad6",62,@nytimes
462,0.0,Wed Jun 27 10:16:02 +0000 2018,0.0,1.0,0.0,"The seized items included $30 million in cash, 2,800 pairs of earrings, 2,200 rings, 2,100 bangles, 1,600 brooches,… https://t.co/zRJ8B871Xz",63,@nytimes
463,0.0,Wed Jun 27 10:00:13 +0000 2018,0.0,1.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/aTMTe1uUWB https://t.co/e8MWX047Hr,64,@nytimes
464,-0.4939,Wed Jun 27 09:44:02 +0000 2018,0.132,0.868,0.0,"""The odds are that Trump will deliver a G-7 performance. And I fear that we will come out of this summit with symbo… https://t.co/ARkcwTr80i",65,@nytimes
465,0.0,Wed Jun 27 09:30:06 +0000 2018,0.0,1.0,0.0,"""It's surreal,"" Alexandria Ocasio-Cortez said as the votes were being tallied https://t.co/9QOMSSi0yQ",66,@nytimes
466,0.25,Wed Jun 27 09:15:07 +0000 2018,0.155,0.69,0.155,"""There was no divine intervention here. Just hard, human work. Argentina made it. Messi made it,"" @RorySmith writes https://t.co/4vq9QC4Yhc",67,@nytimes
467,0.0,Wed Jun 27 09:00:04 +0000 2018,0.0,1.0,0.0,"French butchers wrote that ""physical, verbal, and moral violence” against them was ""neither more nor less than a fo… https://t.co/ma5AGPkE3G",68,@nytimes
468,-0.6249,Wed Jun 27 08:44:01 +0000 2018,0.157,0.843,0.0,"RT @nytimesworld: Remember the ""ecce homo"" in Spain that was one of the worst restoration projects in modern history? It has new competitio…",69,@nytimes
469,0.0,Wed Jun 27 08:30:09 +0000 2018,0.0,1.0,0.0,"There's a lot of trash in the ocean these days. But which of these items is most frequently found on beaches?
• Str… https://t.co/816BGF7zsk",70,@nytimes
470,0.7003,Wed Jun 27 08:15:09 +0000 2018,0.0,0.775,0.225,RT @nytimesworld: Malta says it will let a rescue ship carrying hundreds of African migrants dock — if other European countries agree to ta…,71,@nytimes
471,0.0,Wed Jun 27 08:02:02 +0000 2018,0.0,1.0,0.0,"McKinsey is a keeper of secrets the world over. But in South Africa, its culture of confidentiality helped ensnare… https://t.co/fe85ixkHpJ",72,@nytimes
472,-0.1027,Wed Jun 27 07:47:08 +0000 2018,0.092,0.833,0.075,These photos from the World Cup are missing one important element – the ball. See if you can guess where it was.… https://t.co/yTduHCwFOO,73,@nytimes
473,0.0,Wed Jun 27 07:32:02 +0000 2018,0.0,1.0,0.0,The murals started appearing quietly in Paris last week. Now they're confirmed as the work of Banksy — and the race… https://t.co/5a5tfayiCs,74,@nytimes
474,-0.5653,Wed Jun 27 07:17:01 +0000 2018,0.235,0.656,0.109,500 died. 50 villages destroyed. Tens of thousands displaced. Yet this is not a war zone. It is farm country in Nig… https://t.co/affhI8Tseq,75,@nytimes
475,0.0,Wed Jun 27 07:15:10 +0000 2018,0.0,1.0,0.0,Who Is Alexandria Ocasio-Cortez? A Democratic Giant Slayer https://t.co/RKe0g4XUGF,76,@nytimes
476,0.0,Wed Jun 27 07:02:04 +0000 2018,0.0,1.0,0.0,A dozen Australian politicians were treated to lavish overseas trips by a Chinese technology company that is alread… https://t.co/8vhhubGV8B,77,@nytimes
477,0.0,Wed Jun 27 06:33:01 +0000 2018,0.0,1.0,0.0,RT @NYTScience: How spiders ride the wind https://t.co/OJJBFK9q1c https://t.co/xL9BUcotqG,78,@nytimes
478,-0.8074,Wed Jun 27 06:10:35 +0000 2018,0.549,0.451,0.0,"In Italy, Immigrants Evoke Fear, Not Racism https://t.co/kLelNBZD33",79,@nytimes
479,-0.6249,Wed Jun 27 06:02:02 +0000 2018,0.177,0.823,0.0,"Remember the ""ecce homo"" painting in Spain that was called one of the worst restoration projects in modern history?… https://t.co/wZkdcsNXEr",80,@nytimes
480,-0.4767,Wed Jun 27 05:31:06 +0000 2018,0.162,0.838,0.0,"RT @nytimesarts: ""You are causing suffering and division,"" David Lynch wrote to President Trump on Facebook. https://t.co/LGrlem92wF",81,@nytimes
481,0.0,Wed Jun 27 05:03:07 +0000 2018,0.0,1.0,0.0,President Trump has often lauded Harley-Davidson as a U.S. icon and job creator. Now he's lashing out over its plan… https://t.co/4GXnm6bdzP,82,@nytimes
482,0.0,Wed Jun 27 04:47:03 +0000 2018,0.0,1.0,0.0,Scientists have captured the clearest and most detailed image yet of Zika. The work could contribute to the develop… https://t.co/Te0E7JwNZd,83,@nytimes
483,0.5423,Wed Jun 27 04:32:03 +0000 2018,0.0,0.829,0.171,RT @nytimesarts: The American Library Association is dropping Laura Ingalls Wilder’s name from a prestigious children’s literature award be…,84,@nytimes
484,-0.296,Wed Jun 27 04:12:36 +0000 2018,0.104,0.896,0.0,The U.S. must stop taking migrant children from their parents at the border and reunite separated families within 3… https://t.co/ROVpKjDX27,85,@nytimes
485,-0.5719,Wed Jun 27 04:02:04 +0000 2018,0.198,0.802,0.0,McKinsey rolled the dice on South Africa and lost. Here’s the story behind the biggest mistake in the consulting fi… https://t.co/w7TlqHkQQy,86,@nytimes
486,0.8807,Wed Jun 27 03:51:06 +0000 2018,0.0,0.611,0.389,RT @nytpolitics: Chief Justice John Roberts spoke clinically. Justice Stephen Breyer spoke analytically. Then it was Justice Sonia Sotomayo…,87,@nytimes
487,-0.8779,Wed Jun 27 03:42:43 +0000 2018,0.502,0.498,0.0,"Rare White Alligator Stolen During Fire That Killed 43 Reptiles, Officials Say https://t.co/PniipSRw1Z",88,@nytimes
488,0.0,Wed Jun 27 03:32:05 +0000 2018,0.0,1.0,0.0,"Here's the 2018 election calendar 
https://t.co/x9wJt4d8o3",89,@nytimes
489,0.0,Wed Jun 27 03:17:02 +0000 2018,0.0,1.0,0.0,"RT @nytopinion: From last week, the @nytopinion Editorial Board: Joseph Crowley has decades of experience that can serve his constituents w…",90,@nytimes
490,0.0,Wed Jun 27 03:02:05 +0000 2018,0.0,1.0,0.0,"Utah election live results
https://t.co/90ls5wda5g",91,@nytimes
491,-0.3612,Wed Jun 27 02:51:06 +0000 2018,0.128,0.872,0.0,"RT @nytgraphics: Major upsets and close races in New York state Democratic primaries tonight. 

NY-9: https://t.co/bjXUMBPtHc
NY-14: https:…",92,@nytimes
492,0.204,Wed Jun 27 02:41:03 +0000 2018,0.123,0.721,0.157,"RT @jialynnyang: For anyone wondering how a socialist could've pulled off this kind of upset, read @fstockman's excellent piece: https://t.…",93,@nytimes
493,0.0,Wed Jun 27 02:32:05 +0000 2018,0.0,1.0,0.0,New York election live results https://t.co/Vh0o34Pu6K,94,@nytimes
494,0.0,Wed Jun 27 02:22:06 +0000 2018,0.0,1.0,0.0,"RT @ShaneGoldmacher: Alexandria Ocasio-Cortez had declared it was time for generational, racial and ideological change.

On Tuesday, she wo…",95,@nytimes
495,-0.3182,Wed Jun 27 02:13:07 +0000 2018,0.108,0.892,0.0,"Joseph Crowley of New York, who was seen as a possible Democratic House speaker, lost his primary in a major upset… https://t.co/iILNRye0zt",96,@nytimes
496,-0.3182,Wed Jun 27 02:10:02 +0000 2018,0.218,0.667,0.116,"RT @NYTMetro: In a stunning upset, Rep. Joseph Crowley lost the Democratic primary to Alexandria Ocasio-Cortez, a 28-year-old former organi…",97,@nytimes
497,0.7579,Wed Jun 27 02:07:46 +0000 2018,0.0,0.694,0.306,RT @jdavidgoodman: Joe Crowley had been expected to play guitar during his victory party. Instead he’s giving a concession speech https://t…,98,@nytimes
498,0.0,Wed Jun 27 01:59:22 +0000 2018,0.0,1.0,0.0,Colorado election live results https://t.co/NM7aGQ9Ks7,99,@nytimes
499,0.5423,Wed Jun 27 01:51:01 +0000 2018,0.0,0.743,0.257,"Representative Dan Donovan, a New York Republican, successfully fended off a fierce challenge from his predecessor,… https://t.co/wuaHV4c9eh",100,@nytimes
